字段2,字段3
"
雷蒙多：若有必要会对华为采取进一步行动
",美国商务部长吉娜·雷蒙多(Gina Raimondo)周四（9月23日）表示... 华盛顿表示，有众多理由认为华为构成国家安全威胁，并积极游说其他国家不要在下一代5G网络中使用华为设备... 华盛顿援引华为与中国政府和军方的关系表示，这使该公司容易受到“中国政府参与间谍活动的压力... 雷蒙多表示，该清单“是我们工具箱中一个非常强大的工具，我们将尽其所能，用它来保护美国国家安全... 
"
美众院通过《国防授权法》 点明中国人权问题 将加强与台湾防务合作
","新财年的军事开支除... 麦考尔在声明中表示：“代表美国在国外比赛的运动员都应该要知道他们所面临的所有潜在威胁，特别是当奥运会和其他比赛是在中国共产党这样的残暴威权政权控制的国家举行的时候... 美众院辩论新财年国防授权法 注重提升台湾不对称战力
众议院通过的《国防授权法》还表达美国国会对台湾安全防卫的支持，以及通过协助台湾发展有能力、战备力及现代化的防卫部队... "
"
时事大家谈：拜登总统联大讲话释放何种对华信号？
",美国总统拜登星期二(9月21号)出席在纽约举行的联合国... 美国艾德菲大学文理学院院长、政治学教授王维正认为，拜登借联大发言告诉中国，美中处于竞争而非新冷战的对峙关系，同时也告诉联合国成员国所谓的“新冷战”并不存在... （美国之音记者尹暄对本文亦有贡献） 中共100年：学者谈“毛病养成恶习”与中共的前途 时事大家谈本期节目完整版
"
美共和党议员提出PRC法案，拟把以前准备用于阿富汗的资金用来对抗中国
",美国共和党籍联邦参议员马可·鲁比奥... “将这些资金转用于加强我们在印度-太平洋地区对抗中国的军事能力，投资于美国工业，并支撑国内供应链，这是我们言行一致，并切实打击中国共产党破坏性的行为的绝佳机会，”她在声明中说... 根据布朗大学 战争代价 项目的估计，美国在阿富汗战争上耗费了2.3万亿美元，这个数字不包括拜登政府在美军撤出阿富汗之前将12万3千人撤出阿富汗的费用... 
"
美参院确认康达出任国务院亚太助卿
",拜登总统所提名的国务院主管东亚及太平洋事务的助理国务卿人选康达（Daniel... 今年6月，康达在参议院外交关系委员会有关他的人事提名确认听证会上说，若他的提名顺利获得通过，未来他的工作重心之一就是协助美国在与中国的战略竞争中获胜... 资料照片：被提名为主管东亚及太平洋事务的助理国务卿的康达2021年6月15日出席参议院外交关系委员会有关他的人事提名确认听证会... 
"
新书曝光与中国将军通话等细节后 非政治性的美最高军官再陷争议中心
",说话硬气、勋章无数的陆军... 邮报》记者鲍勃·伍德沃德(Bob Woodward)和罗伯特·科斯塔(Robert Costa)在新书《危险》(Peril)中披露了特朗普执政的最后日子里的新信息，这让一些专家再次声称，米利破坏了文官和武将之间的关系... 根据这部书，米利据报道在2020年10月30日的第一次电话中对李作成说，假如有迫在眉睫的美国核打击，他会联络李作成的... 
"
今日中国是昨日德国？还是“拉民族大旗作虎皮”？
","《外交政策》近日刊文，将当今中国与一战前的德国进行类比... 他援引《经济学人》当时的文章，将美中之间的紧张与当年英德之间的关系作类比，称“1914 年和现在最令人不安的相似之处是自满... “中共的民族主义只是拉大旗作虎皮“
哈德逊研究所高级研究员余茂春(Miles Yu)（照片提供：余茂春）
哈德逊研究所高级研究员余茂春则从民族主义的角度，说明... "
"
美澳日印四国领导人星期五华盛顿会面
",美国、日本、澳大利亚和印度的领导人预计星期五在华盛顿举行面对面会谈，讨论印太地区的合作，共同面对中国日益增长的地区威胁... 美国总统拜登、澳大利亚总理莫里森、印度总理莫迪和日本首相菅义伟... 白宫发言人莎琪在一份声明中说，“四方安全对话机制领导人将集中讨论深化我们的关系，推动抗击新冠状病毒、处理气候危机、在新兴科技和网络空间合作等领域的切实合作，促进自由开放的印度洋... 
"
波音看好中国航空业发展势头 美中对抗前景构成最大变数
",美国飞机制造公司波音公司预测，在今后20年中，如果中国经济保持快速复苏，低成本民航业和电子商务都持续增长，那么中国在2040年以前将需要增加8700架飞机，比该公司去年预测的... 波音公司在周四（9月23日）发表的一份报告中说，8700架民航机的总价值估计为1.47万亿美元... 不过，美中关系的持续恶化给波音公司与中国之间的合作发展前景增添了不确定性... 
"
台湾申请加入《全面与进步跨太平洋伙伴关系协定》
",台湾行政院9月22日宣布，当天已正式递件，申请加入《全面与进步跨太平洋伙伴关系协定(CPTPP)》，同时知会所有CPTPP成员国寻求支持。台湾经济部长王美花与行政院政务委员兼经贸谈判办公室总谈判代表邓振中星期四(9月23日)举行记者会，就台湾的申请作出说明。
"
中国企业数据库独立吗？北京自己揭穿这个大谎言
",中国企业对外总是声称自己的数据库是独立于政府的... 有分析表示，像阿里巴巴、腾讯、滴滴出行、美团、京东等一系列大型民企的崛起引起了中共的担忧... 这对于控制欲极强的中共高层来说，无异于分布于中国各个行业的独立王国，是无法容忍的... 这些公司在抗辩中坚称，它们的软件不存在任何安全隐患，它们的数据库也独立于北京政府... 中国监管当局最新的举措显然是把这种法定的关系进一步明确化和公开化
"
调查显示美公司对中国商业状况恢复乐观情绪
",周四发布的一份年度调查显示，尽管美国公司对北京的 COVID... 美中关系在2019年特朗普政府期间降至最低点... 调查显示，在338家受访公司中，78%的公司称自己对2021年的五年业务前景感到“乐观或略微乐观”，比2020年高出近20个百分点，回到2018年时的水平... 这些数字是在中国当局针对一系列行业持续收紧监管，以及实施管理数据隐私和数据安全的新法律的一年中得出的... 
"
时事大家谈：拜登总统联大讲话释放何种对华信号？
",美国总统拜登星期二(9月21日)出席在纽约举行的联合国代表大会，并发表上任以来的首次联大讲话。他在以应对全球气候变化和击败新冠病毒为重点的基础上，强调反对“为追求赤裸裸的政治权力而践踏和扭曲人类普世原则”的行为，并且提出，在进入了新时代之后，人类是用这个时代提供的新机会和新技术来强化压迫，还是武装人民。他还称，每个国家都有公平竞争的权利。中共最高领导人习近平在同一天的预录视频讲话中，反复强调“全人类共同命运体”，并称“文明有不同的形式”。有分析称，拜登的盟友合作思路已经告别了他的前任特朗普，不过，他没有偏离对中共的警惕。那么，拜登本次演说中提到的一些关键点，是否直指北京政府？
"
务实且为免争议，台湾以“台澎金马个别关税领域”名义申请加入CPTPP
",台湾行政院政务委员兼经贸谈判办公室总谈判代表邓振中星期四（9月23日）向媒体证实，台湾这次是以“台澎金马个别关税领域”的名义申请入会，自从台湾以这个名义加入世界贸易组织（WTO... 他强调，选择使用“台澎金马个别关税领域”这个名称申请加入CPTPP... “世界上只有一个中国，台湾地区是中国不可分割的一部分，一个中国原则是公认的国际关系准则和国际社会普遍共识，”赵立坚说... 
"
时事大家谈：拜登总统联大讲话释放何种对华信号？
",美国总统拜登星期二(9月21日)出席在纽约举行的联合国代表大会，并发表上任以来的首次联大讲话。他在以应对全球气候变化和击败新冠病毒为重点的基础上，强调反对“为追求赤裸裸的政治权力而践踏和扭曲人类普世原则”的行为，并且提出，在进入了新时代之后，人类是用这个时代提供的新机会和新技术来强化压迫，还是武装人民。他还称，每个国家都有公平竞争的权利。中共最高领导人习近平在同一天的预录视频讲话中，反复强调“全人类共同命运体”，并称“文明有不同的形式”。有分析称，拜登的盟友合作思路已经告别了他的前任特朗普，不过，他没有偏离对中共的警惕。拜登本次演说中强调的“美国并不寻求新冷战”，对中共来说意味着什么？
"
日本继任首相争夺战 中国变成发烧话题
",他指出，野田曾在日前表态支持中国加盟CPTTP(全面与进步跨太平洋伙伴关系协定)，过去也曾主张日本不应该介入南中国海纷争，对于美中对立的现状更主张日本应该利用在美中双方的人脉关系，扮演贤明的交涉，甚至是仲裁角色，不要让美中持续对立下去... 如果野田入阁了，可以想见日本的对中政策还是会维持二阶担任秘书长时与中国在对抗中有对话的关系，不会有很戏剧化的转变... 
